emoji,dominant_label,dominant_count,total_count,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
🚭,joy,4,11,4,3,0,0,0,1,0,3
🐲,joy,4,11,4,3,0,1,0,0,0,3
🏛,joy,3,11,3,1,0,2,0,0,2,3
🛻,joy,3,11,3,3,0,2,0,0,0,3
🦗,joy,5,11,5,0,0,5,0,0,0,1
⏬,anticipation,6,11,4,0,1,0,0,0,0,6
🎢,joy,3,11,3,3,0,2,0,0,0,3
🎨,anticipation,5,11,4,2,0,0,0,0,0,5
🌜,joy,4,11,4,4,0,1,1,0,0,1
👣,joy,5,11,5,4,0,0,0,0,0,2
🔶,joy,5,10,5,3,0,0,0,0,0,2
🐌,anticipation,3,10,3,2,0,0,1,1,0,3
🧙,joy,5,10,5,0,0,0,0,0,0,5
🫔,joy,3,10,3,3,0,1,0,0,0,3
🐂,joy,2,10,2,2,0,0,1,1,2,2
👔,fear,3,10,0,1,3,0,3,0,0,3
🧴,joy,4,10,4,3,0,1,0,0,0,2
🩺,trust,4,10,2,4,0,0,1,0,0,3
🕐,anticipation,4,10,3,3,0,0,0,0,0,4
🚦,joy,3,10,3,3,0,2,0,0,0,2
🔬,anticipation,4,10,3,3,0,0,0,0,0,4
🥜,joy,5,10,5,3,0,0,0,0,0,2
🥔,joy,3,10,3,3,0,2,0,0,0,2
🦑,joy,3,10,3,3,0,1,0,0,0,3
💻,joy,3,10,3,3,1,0,0,0,0,3
🦢,joy,4,10,4,4,0,0,0,0,0,2
🔝,anticipation,6,10,2,2,0,0,0,0,0,6
❇,joy,4,10,4,4,0,0,0,0,0,2
🟩,joy,4,10,4,0,1,0,0,1,0,4
🥮,joy,3,9,3,3,0,1,0,0,0,2
🐤,joy,3,9,3,2,0,0,1,0,0,3
📰,joy,3,9,3,2,1,1,0,0,0,2
🥒,disgust,4,9,2,2,0,1,0,4,0,0
⚓,joy,3,9,3,3,0,1,0,0,0,2
🪦,sadness,3,9,2,1,1,1,3,1,0,0
🔈,joy,4,9,4,3,0,0,0,0,0,2
🫘,joy,3,9,3,3,0,1,0,0,0,2
🎇,joy,3,9,3,3,0,0,0,0,0,3
🦜,sadness,5,9,0,0,3,0,5,0,0,1
📛,joy,3,9,3,3,0,0,0,0,0,3
®,joy,5,9,5,1,1,0,0,0,0,2
🎗,joy,3,9,3,1,1,0,1,0,0,3
🛝,joy,3,9,3,3,0,0,0,0,0,3
⛲,joy,3,9,3,3,0,0,0,0,0,3
💼,trust,3,9,2,3,1,0,0,0,0,3
🎍,anticipation,3,9,2,2,1,0,0,1,0,3
🌉,joy,3,9,3,3,0,0,0,0,0,3
🧿,joy,3,9,3,1,0,3,0,0,0,2
🧤,joy,3,9,3,3,0,0,0,0,0,3
🆙,joy,3,9,3,3,0,0,0,0,0,3
👭,joy,3,9,3,2,0,1,0,1,0,2
🫑,joy,3,9,3,3,0,1,0,0,0,2
☢,sadness,3,9,1,1,2,2,3,0,0,0
🐘,joy,3,9,3,3,0,0,0,0,0,3
🧂,surprise,4,9,0,0,0,4,1,1,1,2
🪙,joy,3,8,3,3,0,0,0,0,0,2
🧜,joy,3,8,3,3,0,0,0,0,0,2
🌠,joy,3,8,3,3,0,0,0,0,0,2
🐁,joy,2,8,2,2,0,0,2,1,0,1
🪱,fear,2,8,0,0,2,0,2,1,2,1
🆎,disgust,3,8,2,0,0,1,0,3,2,0
🌍,joy,3,8,3,3,0,0,0,0,0,2
🥉,joy,6,8,6,0,0,0,0,0,0,2
⚜,joy,2,8,2,2,0,2,0,0,0,2
📱,trust,4,8,2,4,0,0,0,0,0,2
📽,joy,5,8,5,0,0,1,0,0,0,2
🐛,joy,2,8,2,1,1,0,2,0,0,2
🫷,anticipation,3,8,2,1,1,0,1,0,0,3
🧅,joy,3,8,3,3,0,1,0,0,0,1
🛑,anger,3,8,0,0,0,1,0,3,3,1
🌕,joy,5,8,5,2,0,0,0,0,0,1
🎎,joy,3,8,3,3,0,0,0,0,0,2
🐩,joy,3,8,3,1,0,0,0,2,1,1
✝,joy,2,8,2,2,1,0,0,0,1,2
✡,joy,3,8,3,3,0,0,0,1,1,0
⛱,joy,3,7,3,3,0,0,0,0,0,1
🦝,joy,3,7,3,3,0,0,0,0,0,1
🐪,joy,2,7,2,1,0,0,1,2,1,0
🧩,trust,3,7,2,3,0,0,0,0,0,2
🕑,joy,3,7,3,2,0,1,0,0,0,1
👷,joy,4,7,4,2,0,0,0,0,0,1
🚂,joy,2,7,2,2,0,2,0,0,0,1
⬆,sadness,2,7,1,1,0,1,2,1,0,1
➕,anticipation,3,7,2,2,0,0,0,0,0,3
🦏,anticipation,3,7,1,1,1,0,1,0,0,3
📖,joy,2,7,2,2,0,0,1,0,0,2
🦠,joy,2,7,2,2,0,0,1,1,0,1
🦞,joy,2,7,2,2,0,1,0,0,0,2
👂,anticipation,3,7,1,0,0,1,0,1,1,3
🚽,disgust,3,7,1,1,0,0,0,3,1,1
🦮,joy,4,7,4,1,0,0,0,1,0,1
🐀,disgust,3,7,0,0,1,0,0,3,2,1
🌵,joy,3,7,3,2,0,0,0,2,0,0
🌲,joy,3,7,3,1,0,0,0,2,0,1
🗒,trust,3,7,2,3,0,0,0,0,0,2
👕,trust,3,7,2,3,0,0,0,0,0,2
🅾,joy,2,6,2,2,0,0,0,0,0,2
🅱,joy,2,6,2,2,0,0,0,0,0,2
🌎,trust,2,6,1,2,0,1,0,0,0,2
♣,joy,2,6,2,2,0,0,0,0,2,0
🕒,joy,2,6,2,2,0,0,0,0,0,2
🚕,joy,2,6,2,2,0,1,0,0,0,1
🩰,joy,2,6,2,2,0,0,0,0,0,2
🧝,sadness,3,6,1,1,0,0,3,0,0,1
🪑,anticipation,3,6,1,1,1,0,0,0,0,3
🚈,joy,2,6,2,2,0,0,0,0,0,2
⬅,joy,2,6,2,2,0,0,0,0,0,2
📡,joy,2,6,2,2,0,0,0,0,0,2
📿,joy,4,6,4,0,1,0,0,0,0,1
🫳,joy,3,6,3,1,1,0,1,0,0,0
🔧,joy,2,6,2,2,0,0,0,0,0,2
🔲,joy,2,6,2,2,0,0,0,0,0,2
🔷,joy,3,6,3,1,0,0,0,0,0,2
🦛,joy,2,6,2,2,0,0,0,0,0,2
🚲,joy,2,6,2,2,0,0,0,0,0,2
🦷,surprise,2,6,1,1,0,2,2,0,0,0
🐴,joy,2,6,2,2,0,1,0,0,0,1
🐡,joy,2,6,2,2,0,1,0,0,0,1
📜,joy,2,6,2,2,0,1,0,0,0,1
📗,joy,2,6,2,2,0,0,0,0,0,2
🏞,joy,2,6,2,2,0,0,0,0,0,2
⛏,joy,4,6,4,0,0,1,0,0,1,0
🛠,joy,3,6,3,2,0,1,0,0,0,0
💶,joy,1,6,1,1,1,0,0,1,1,1
🧳,joy,2,6,2,2,0,0,0,0,0,2
🚜,joy,2,6,2,2,0,0,0,0,0,2
📒,joy,2,6,2,2,0,0,0,0,0,2
📓,joy,2,6,2,2,0,1,0,0,0,1
📑,joy,2,6,2,2,0,0,0,0,0,2
🏀,joy,2,6,2,2,0,0,0,0,0,2
📏,disgust,2,6,1,0,1,0,1,2,1,0
🦒,joy,2,6,2,1,0,0,0,1,1,1
🦅,joy,2,6,2,2,0,1,0,0,0,1
📤,joy,2,5,2,2,0,0,0,0,0,1
👃,joy,3,5,3,1,0,0,1,0,0,0
🏌,joy,2,5,2,2,0,1,0,0,0,0
🚼,joy,2,5,2,2,0,0,0,0,0,1
📊,trust,2,5,1,2,0,0,0,0,0,2
🔖,joy,2,5,2,2,0,0,0,0,0,1
🤱,joy,3,5,3,2,0,0,0,0,0,0
📘,joy,2,5,2,2,0,0,0,0,0,1
🥊,joy,2,5,2,1,0,0,1,0,0,1
🏅,joy,3,5,3,0,0,0,0,0,0,2
🔑,joy,2,5,2,2,0,0,0,0,0,1
👙,joy,1,5,1,1,0,1,1,0,0,1
🚢,joy,2,5,2,1,0,2,0,0,0,0
🐗,joy,2,5,2,2,0,0,0,0,0,1
🕳,sadness,3,5,0,0,0,0,3,2,0,0
🔻,joy,3,5,3,1,0,0,0,0,0,1
🗨,joy,2,5,2,2,0,0,0,0,0,1
🧽,joy,3,5,3,1,0,0,0,0,0,1
🕗,joy,2,5,2,1,0,0,0,0,0,2
💲,joy,2,5,2,2,0,0,0,0,0,1
⛷,joy,2,5,2,2,0,0,0,0,0,1
🕰,joy,2,5,2,2,0,0,0,0,0,1
🏨,joy,2,5,2,2,0,0,0,0,0,1
👳,joy,2,4,2,1,0,0,0,0,0,1
🫄,joy,2,4,2,1,0,0,0,0,0,1
☯,joy,2,4,2,0,0,0,1,0,0,1
🕕,anticipation,2,4,1,1,0,0,0,0,0,2
🚅,joy,1,4,1,1,0,1,0,0,0,1
🕛,anticipation,2,4,1,1,0,0,0,0,0,2
🚘,joy,3,4,3,1,0,0,0,0,0,0
🧶,joy,2,4,2,2,0,0,0,0,0,0
🕹,fear,1,4,0,0,1,1,1,0,0,1
👴,joy,1,4,1,1,0,0,0,1,0,1
🧭,joy,1,4,1,1,0,1,0,0,0,1
🎣,joy,1,4,1,1,0,1,0,0,0,1
🏸,joy,2,4,2,1,0,0,0,0,0,1
🗑,disgust,2,4,0,0,0,0,0,2,1,1
🐋,joy,2,4,2,2,0,0,0,0,0,0
🎧,joy,2,4,2,1,0,0,0,0,0,1
🌦,joy,2,4,2,2,0,0,0,0,0,0
🌡,joy,1,4,1,0,0,0,1,1,0,1
🌘,joy,2,4,2,1,0,0,0,0,0,1
🪔,joy,1,4,1,1,0,1,0,0,0,1
📁,joy,2,4,2,1,0,0,1,0,0,0
🦤,joy,2,4,2,0,0,0,0,0,0,2
🚷,joy,1,4,1,1,0,1,0,0,0,1
🚮,anger,2,4,0,0,0,0,0,2,2,0
🏘,joy,1,4,1,1,0,1,0,0,0,1
❔,joy,2,4,2,0,0,0,0,1,0,1
📋,trust,2,4,1,2,0,0,0,0,0,1
🏇,joy,2,4,2,2,0,0,0,0,0,0
📫,joy,1,4,1,1,0,1,0,0,0,1
🫗,joy,2,4,2,1,0,0,0,0,0,1
↕,sadness,1,4,1,0,0,0,1,1,0,1
🪩,joy,1,4,1,1,0,1,0,0,0,1
🎭,joy,2,4,2,1,0,1,0,0,0,0
⌚,anticipation,2,4,1,1,0,0,0,0,0,2
↪,joy,1,3,1,1,0,0,0,0,0,1
🎰,joy,2,3,2,0,0,0,0,0,0,1
🪻,joy,1,3,1,1,0,0,0,0,0,1
♻,trust,2,3,0,2,0,0,0,0,0,1
™,joy,1,3,1,1,0,0,0,0,0,1
🎩,joy,1,3,1,1,0,0,0,0,0,1
🪟,joy,1,3,1,1,0,0,0,0,0,1
🪧,joy,1,3,1,1,0,0,0,0,0,1
🎹,joy,1,3,1,1,0,0,0,0,0,1
📂,joy,1,3,1,1,0,0,0,0,0,1
🔍,anticipation,2,3,0,1,0,0,0,0,0,2
🔌,joy,1,3,1,1,0,1,0,0,0,0
🦓,joy,1,3,1,1,0,0,0,0,0,1
⛈,joy,1,3,1,0,0,0,1,0,0,1
🦘,joy,1,3,1,1,0,0,0,0,0,1
🏟,joy,1,3,1,1,0,0,0,0,0,1
🐞,joy,1,3,1,1,0,0,0,0,0,1
🤾,sadness,3,3,0,0,0,0,3,0,0,0
🐚,joy,1,3,1,1,0,0,0,0,0,1
🔄,joy,2,3,2,1,0,0,0,0,0,0
📻,joy,1,3,1,1,0,0,0,0,0,1
🤴,joy,1,3,1,1,0,1,0,0,0,0
🥈,joy,1,3,1,1,0,0,0,0,0,1
📮,joy,1,3,1,1,0,0,0,0,0,1
🕵,trust,1,3,0,1,0,1,0,0,0,1
🌂,anticipation,2,3,0,1,0,0,0,0,0,2
🖋,joy,1,3,1,1,0,0,0,0,0,1
🖍,joy,1,3,1,0,0,1,0,0,0,1
🐆,joy,1,3,1,1,0,0,0,0,0,1
🪀,joy,1,3,1,1,0,0,0,0,0,1
🧲,joy,1,3,1,1,0,0,0,0,0,1
🖥,joy,1,3,1,1,0,0,0,0,0,1
🌒,joy,1,3,1,1,0,0,0,0,0,1
🌇,fear,1,3,0,0,1,0,1,1,0,0
🫁,joy,1,3,1,1,0,0,1,0,0,0
🪸,joy,1,3,1,1,0,0,0,0,0,1
🗄,joy,1,3,1,1,0,0,0,0,0,1
🖨,joy,1,3,1,1,0,1,0,0,0,0
🌆,joy,1,3,1,1,0,0,0,0,0,1
📄,joy,1,3,1,1,0,0,0,0,0,1
✒,joy,1,3,1,1,0,0,0,0,0,1
🎒,anticipation,2,3,0,0,1,0,0,0,0,2
🦣,joy,1,3,1,1,0,0,0,0,0,1
🛶,joy,2,3,2,0,0,1,0,0,0,0
💷,fear,1,3,0,0,1,0,0,1,1,0
💿,joy,1,3,1,1,0,0,0,0,0,1
🎞,anger,1,3,1,1,0,0,0,0,1,0
🔱,joy,1,3,1,1,0,0,0,1,0,0
👗,joy,1,3,1,1,0,0,0,0,0,1
👠,joy,1,3,1,1,0,0,0,0,0,1
🪅,joy,1,3,1,1,0,0,0,0,0,1
🪓,joy,1,3,1,0,0,0,1,0,0,1
🫓,joy,1,3,1,1,0,0,0,0,0,1
👲,joy,2,3,2,1,0,0,0,0,0,0
🫕,joy,1,3,1,1,0,0,0,0,0,1
👬,joy,1,3,1,1,0,0,0,0,0,1
🚣,joy,1,3,1,0,1,0,0,0,1,0
🚪,joy,1,3,1,1,0,0,0,0,0,1
➿,joy,1,3,1,1,0,0,0,0,0,1
🚎,joy,1,3,1,1,0,0,0,0,0,1
🚒,joy,1,3,1,1,0,0,0,0,0,1
🧓,surprise,1,3,1,0,0,1,0,0,0,1
🧈,joy,1,3,1,1,0,0,0,0,0,1
🕘,joy,1,3,1,1,0,0,0,0,0,1
🏵,joy,1,3,1,1,0,0,0,0,0,1
♌,joy,1,3,1,1,0,0,0,0,0,1
🕎,joy,1,3,1,1,0,0,0,0,0,1
🎆,joy,1,3,1,1,0,0,0,0,0,1
🏩,joy,2,3,2,1,0,0,0,0,0,0
🛋,joy,1,3,1,1,0,0,0,0,0,1
🌖,joy,1,3,1,1,0,0,0,0,0,1
🔀,joy,1,2,1,0,0,0,0,0,0,1
🎾,joy,1,2,1,1,0,0,0,0,0,0
🔋,joy,1,2,1,1,0,0,0,0,0,0
🔓,joy,1,2,1,1,0,0,0,0,0,0
🔃,joy,1,2,1,0,0,0,0,0,0,1
🦇,joy,1,2,1,0,0,0,1,0,0,0
🪚,fear,1,2,0,0,1,0,0,0,0,1
↖,joy,2,2,2,0,0,0,0,0,0,0
⚗,disgust,2,2,0,0,0,0,0,2,0,0
🪫,joy,1,2,1,0,0,0,0,0,0,1
🪢,joy,1,2,1,1,0,0,0,0,0,0
⚖,sadness,1,2,0,0,0,0,1,1,0,0
↘,joy,2,2,2,0,0,0,0,0,0,0
☄,joy,1,2,1,1,0,0,0,0,0,0
⌛,joy,1,2,1,0,0,0,0,0,0,1
⛵,joy,1,2,1,1,0,0,0,0,0,0
🟰,sadness,1,2,0,0,0,0,1,0,1,0
🕶,joy,1,2,1,0,0,0,0,0,0,1
🧄,joy,1,2,1,1,0,0,0,0,0,0
🌋,anticipation,1,2,0,0,0,0,1,0,0,1
🆖,joy,2,2,2,0,0,0,0,0,0,0
🔟,trust,1,2,0,1,0,0,0,0,0,1
🏜,joy,1,2,1,1,0,0,0,0,0,0
🚝,joy,1,2,1,1,0,0,0,0,0,0
🆓,joy,1,2,1,0,0,0,0,0,0,1
🚏,joy,1,2,1,1,0,0,0,0,0,0
👜,joy,1,2,1,1,0,0,0,0,0,0
♟,joy,2,2,2,0,0,0,0,0,0,0
♓,joy,1,2,1,1,0,0,0,0,0,0
💑,joy,1,2,1,0,0,0,1,0,0,0
♠,joy,1,2,1,1,0,0,0,0,0,0
🚔,joy,1,2,1,0,0,0,0,0,0,1
👓,joy,1,2,1,1,0,0,0,0,0,0
🪲,joy,1,2,1,1,0,0,0,0,0,0
🗳,joy,1,2,1,1,0,0,0,0,0,0
🔵,disgust,1,2,0,0,0,0,0,1,0,1
🚾,disgust,1,2,0,0,0,0,0,1,0,1
🦼,joy,1,2,1,0,0,0,0,0,0,1
✳,joy,1,2,1,0,0,0,0,1,0,0
🔦,joy,1,2,1,1,0,0,0,0,0,0
🦡,joy,1,2,1,1,0,0,0,0,0,0
🏙,joy,1,2,1,1,0,0,0,0,0,0
🍘,joy,1,2,1,1,0,0,0,0,0,0
🦬,joy,1,2,1,1,0,0,0,0,0,0
🦪,fear,2,2,0,0,2,0,0,0,0,0
🦴,joy,1,2,1,1,0,0,0,0,0,0
↩,sadness,1,1,0,0,0,0,1,0,0,0
🪰,anticipation,1,1,0,0,0,0,0,0,0,1
↗,joy,1,1,1,0,0,0,0,0,0,0
⚰,joy,1,1,1,0,0,0,0,0,0,0
🪣,joy,1,1,1,0,0,0,0,0,0,0
🦺,joy,1,1,1,0,0,0,0,0,0,0
🛰,joy,1,1,1,0,0,0,0,0,0,0
🦿,joy,1,1,1,0,0,0,0,0,0,0
🦽,anticipation,1,1,0,0,0,0,0,0,0,1
🟢,anticipation,1,1,0,0,0,0,0,0,0,1
🟦,anticipation,1,1,0,0,0,0,0,0,0,1
⛹,joy,1,1,1,0,0,0,0,0,0,0
🏚,anticipation,1,1,0,0,0,0,0,0,0,1
🤹,joy,1,1,1,0,0,0,0,0,0,0
🏤,joy,1,1,1,0,0,0,0,0,0,0
🔕,joy,1,1,1,0,0,0,0,0,0,0
🔘,anticipation,1,1,0,0,0,0,0,0,0,1
🦂,sadness,1,1,0,0,0,0,1,0,0,0
⛑,anticipation,1,1,0,0,0,0,0,0,0,1
🔅,anticipation,1,1,0,0,0,0,0,0,0,1
🤿,disgust,1,1,0,0,0,0,0,1,0,0
📴,anticipation,1,1,0,0,0,0,0,0,0,1
🎻,sadness,1,1,0,0,0,0,1,0,0,0
🟠,trust,1,1,0,1,0,0,0,0,0,0
🟡,anticipation,1,1,0,0,0,0,0,0,0,1
🛜,joy,1,1,1,0,0,0,0,0,0,0
🏬,anticipation,1,1,0,0,0,0,0,0,0,1
🧢,trust,1,1,0,1,0,0,0,0,0,0
👒,joy,1,1,1,0,0,0,0,0,0,0
🚧,anticipation,1,1,0,0,0,0,0,0,0,1
🆘,sadness,1,1,0,0,0,0,1,0,0,0
🧹,joy,1,1,1,0,0,0,0,0,0,0
🕸,joy,1,1,1,0,0,0,0,0,0,0
🌰,joy,1,1,1,0,0,0,0,0,0,0
🌓,anticipation,1,1,0,0,0,0,0,0,0,1
